@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,93,https://api.elsevier.com/content/author/author_id/55730270700,55730270700,Johnson C.,Johnson,Craig,C.,true,112746384,83,NA
true,94,https://api.elsevier.com/content/author/author_id/7402672834,7402672834,Jordan J.,Jordan,Jennifer,J.,true,60002143,83,NA
true,95,https://api.elsevier.com/content/author/author_id/57211903056,57211903056,Julià A.,Julià,Antonio,A.,true,60108505,83,NA
true,96,https://api.elsevier.com/content/author/author_id/6603276046,6603276046,Juréus A.,Juréus,Anders,A.,true,60012311,83,NA
true,97,https://api.elsevier.com/content/author/author_id/7003973785,7003973785,Kalsi G.,Kalsi,Gursharan,G.,true,60015879,83,NA
true,98,https://api.elsevier.com/content/author/author_id/57197806102,57197806102,Kaminská D.,Kaminská,Deborah,D.,true,60016605,83,NA
true,99,https://api.elsevier.com/content/author/author_id/7402502039,7402502039,Kaplan A.,Kaplan,Allan,A.,true,60015765,83,NA
true,100,https://api.elsevier.com/content/author/author_id/35379599600,35379599600,Kaprio J.,Kaprio,Jaakko,J.,true,60002952,83,NA
true,1,https://api.elsevier.com/content/author/author_id/55397575800,55397575800,Sierra F.,Sierra,Felipe,F.,true,60017252,84,NA
true,1,https://api.elsevier.com/content/author/author_id/16246058800,16246058800,Quiton R.L.,Quiton,Raimi L.,R.L.,true,60014653,85,NA
true,2,https://api.elsevier.com/content/author/author_id/57203415818,57203415818,Leibel D.K.,Leibel,Daniel K.,D.K.,true,60014653,85,NA
true,3,https://api.elsevier.com/content/author/author_id/57216567045,57216567045,Boyd E.L.,Boyd,Eryka L.,E.L.,true,60014653,85,NA
true,4,https://api.elsevier.com/content/author/author_id/7006794486,7006794486,Waldstein S.R.,Waldstein,Shari R.,S.R.,true,60014653,85,NA
true,5,https://api.elsevier.com/content/author/author_id/7404538531,7404538531,Evans M.K.,Evans,Michele K.,M.K.,true,60017252,85,NA
true,6,https://api.elsevier.com/content/author/author_id/57211703435,57211703435,Zonderman A.B.,Zonderman,Alan B.,A.B.,true,60017252,85,NA
true,1,https://api.elsevier.com/content/author/author_id/56510787900,56510787900,Johnson E.C.B.,Johnson,Erik C.B.,E.C.B.,true,60002339,86,0000-0002-0604-2944
true,2,https://api.elsevier.com/content/author/author_id/15070299500,15070299500,Dammer E.B.,Dammer,Eric B.,E.B.,true,60002339,86,0000-0003-2947-7606
true,3,https://api.elsevier.com/content/author/author_id/8759320300,8759320300,Duong D.M.,Duong,Duc M.,D.M.,true,60002339,86,NA
true,4,https://api.elsevier.com/content/author/author_id/58890015700,58890015700,Ping L.,Ping,Lingyan,L.,true,60002339,86,NA
true,5,https://api.elsevier.com/content/author/author_id/57195558718,57195558718,Zhou M.,Zhou,Maotian,M.,true,60002339,86,NA
true,6,https://api.elsevier.com/content/author/author_id/7203060086,7203060086,Yin L.,Yin,Luming,L.,true,60002339,86,NA
true,7,https://api.elsevier.com/content/author/author_id/6507712400,6507712400,Higginbotham L.A.,Higginbotham,Lenora A.,L.A.,true,60002339,86,NA
true,8,https://api.elsevier.com/content/author/author_id/57194575100,57194575100,Guajardo A.,Guajardo,Andrew,A.,true,60001117,86,NA
true,9,https://api.elsevier.com/content/author/author_id/57216529808,57216529808,White B.,White,Bartholomew,B.,true,60001117,86,NA
true,10,https://api.elsevier.com/content/author/author_id/7005194760,7005194760,Troncoso J.C.,Troncoso,Juan C.,J.C.,true,60001117,86,NA
true,11,https://api.elsevier.com/content/author/author_id/6507073742,6507073742,Thambisetty M.,Thambisetty,Madhav,M.,true,60017252,86,NA
true,12,https://api.elsevier.com/content/author/author_id/57216243395,57216243395,Montine T.J.,Montine,Thomas J.,T.J.,true,60032838,86,NA
true,13,https://api.elsevier.com/content/author/author_id/7406969176,7406969176,Lee E.B.,Lee,Edward B.,E.B.,true,60003711,86,0000-0002-4589-1180
true,14,https://api.elsevier.com/content/author/author_id/57223622085,57223622085,Trojanowski J.Q.,Trojanowski,John Q.,J.Q.,true,60003711,86,0000-0002-9239-8794
true,15,https://api.elsevier.com/content/author/author_id/7005917418,7005917418,Beach T.G.,Beach,Thomas G.,T.G.,true,60025086,86,NA
true,16,https://api.elsevier.com/content/author/author_id/7005957089,7005957089,Reiman E.M.,Reiman,Eric M.,E.M.,true,60015864,86,0000-0002-0705-3696
true,17,https://api.elsevier.com/content/author/author_id/7006715762,7006715762,Haroutunian V.,Haroutunian,Vahram,V.,true,60012981,86,0000-0001-5860-2512
true,18,https://api.elsevier.com/content/author/author_id/57003920000,57003920000,Wang M.,Wang,Minghui,M.,true,60012981,86,NA
true,19,https://api.elsevier.com/content/author/author_id/6701604029,6701604029,Schadt E.,Schadt,Eric,E.,true,60012981,86,0000-0002-7892-8808
true,20,https://api.elsevier.com/content/author/author_id/58601319900,58601319900,Zhang B.,Zhang,Bin,B.,true,60012981,86,NA
true,21,https://api.elsevier.com/content/author/author_id/35355842400,35355842400,Dickson D.W.,Dickson,Dennis W.,D.W.,true,60018859,86,0000-0001-7189-7917
true,22,https://api.elsevier.com/content/author/author_id/6507433239,6507433239,Ertekin-Taner N.,Ertekin-Taner,Nilüfer,N.,true,60018859,86,NA
true,23,https://api.elsevier.com/content/author/author_id/7005214095,7005214095,Golde T.E.,Golde,Todd E.,T.E.,true,60007567,86,NA
true,24,https://api.elsevier.com/content/author/author_id/12241535200,12241535200,Petyuk V.A.,Petyuk,Vladislav A.,V.A.,true,60023471,86,NA
true,25,https://api.elsevier.com/content/author/author_id/56463723000,56463723000,De Jager P.L.,De Jager,Philip L.,P.L.,true,60027565,86,0000-0002-8057-2505
true,26,https://api.elsevier.com/content/author/author_id/57651397600,57651397600,Bennett D.A.,Bennett,David A.,D.A.,true,60009452,86,NA
true,27,https://api.elsevier.com/content/author/author_id/57197753830,57197753830,Wingo T.S.,Wingo,Thomas S.,T.S.,true,60002339,86,0000-0002-7679-6282
true,28,https://api.elsevier.com/content/author/author_id/25028249100,25028249100,Rangaraju S.,Rangaraju,Srikant,S.,true,60002339,86,0000-0003-2765-1500
true,29,https://api.elsevier.com/content/author/author_id/6602614524,6602614524,Hajjar I.,Hajjar,Ihab,I.,true,60002339,86,NA
true,30,https://api.elsevier.com/content/author/author_id/57197291395,57197291395,Shulman J.M.,Shulman,Joshua M.,J.M.,true,60002441,86,NA
true,31,https://api.elsevier.com/content/author/author_id/56834296100,56834296100,Lah J.J.,Lah,James J.,J.J.,true,60002339,86,NA
true,32,https://api.elsevier.com/content/author/author_id/7101644033,7101644033,Levey A.I.,Levey,Allan I.,A.I.,true,60002339,86,0000-0002-3153-502X
